"","Bldg_Name","rev_mo","occ"
"113","Mark on 8th",2019-09-01,0.266666666666667
"114","Rollin Street Flats",2016-09-01,0.166666666666667
"115","Rollin Street Flats",2016-10-01,0.606034482758621
"116","Rollin Street Flats",2016-11-01,1
"117","Rollin Street Flats",2016-12-01,0.483870967741935
"118","Rollin Street Flats",2017-01-01,0.838709677419355
"119","Rollin Street Flats",2017-02-01,0.625
"120","Rollin Street Flats",2017-03-01,0.673452169386253
"121","Rollin Street Flats",2017-04-01,0.644444444444444
"122","Rollin Street Flats",2017-05-01,0.870967741935484
"123","Rollin Street Flats",2017-06-01,0.911111111111111
"124","Rollin Street Flats",2017-07-01,0.860215053763441
"125","Rollin Street Flats",2017-08-01,0.903225806451613
"126","Rollin Street Flats",2017-09-01,0.911111111111111
"127","Rollin Street Flats",2017-10-01,0.849462365591398
"128","Rollin Street Flats",2017-11-01,0.866666666666667
"129","Rollin Street Flats",2017-12-01,0.720430107526882
"130","Rollin Street Flats",2018-01-01,0.666666666666667
"131","Rollin Street Flats",2018-02-01,0.94047619047619
"132","Rollin Street Flats",2018-03-01,0.806451612903226
"133","Rollin Street Flats",2018-04-01,0.611111111111111
"134","Rollin Street Flats",2018-05-01,0.795698924731183
"135","Rollin Street Flats",2018-06-01,0.788888888888889
"136","Rollin Street Flats",2018-07-01,0.935483870967742
"137","Rollin Street Flats",2018-08-01,0.935483870967742
"138","Rollin Street Flats",2018-09-01,0.766666666666667
"139","Rollin Street Flats",2018-10-01,0.129035949350224
"140","Rollin Street Flats",2018-11-01,0.166666666666667
"141","Rollin Street Flats",2018-12-01,0.125
"142","Rollin Street Flats",2019-08-01,0.0645161290322581
"143","Tower 801",2016-11-01,0.251099952175992
"144","Tower 801",2016-12-01,0.306451612903226
"145","Tower 801",2017-01-01,0.564516129032258
"146","Tower 801",2017-02-01,0.428571428571429
"147","Tower 801",2017-03-01,0.709677419354839
"148","Tower 801",2017-04-01,0.516666666666667
"149","Tower 801",2017-05-01,0.790322580645161
"150","Tower 801",2017-06-01,0.85
"151","Tower 801",2017-07-01,0.774193548387097
"152","Tower 801",2017-08-01,0.516129032258065
"153","Tower 801",2017-09-01,0.783333333333333
