cohort,weekdate,status,Rooms
CHROMA,2018-06-17T07:00:00Z,Booked,181
CHROMA,2018-06-24T07:00:00Z,Booked,199
CHROMA,2018-07-01T07:00:00Z,Booked,161
CHROMA,2018-07-08T07:00:00Z,Booked,197
CHROMA,2018-07-15T07:00:00Z,Booked,222
CHROMA,2018-07-22T07:00:00Z,Booked,225
CHROMA,2018-07-29T07:00:00Z,Booked,212
CHROMA,2018-08-05T07:00:00Z,Booked,219
CHROMA,2018-08-12T07:00:00Z,Booked,201
CHROMA,2018-08-19T07:00:00Z,Booked,217
CHROMA,2018-08-26T07:00:00Z,Booked,207
CHROMA,2018-09-02T07:00:00Z,Booked,179
CHROMA,2018-09-09T07:00:00Z,Booked,193
CHROMA,2018-09-16T07:00:00Z,Booked,191
CHROMA,2018-09-23T07:00:00Z,Booked,170
CHROMA,2018-09-30T07:00:00Z,Booked,175
CHROMA,2018-10-07T07:00:00Z,Booked,93
CHROMA,2018-10-14T07:00:00Z,Booked,16
CHROMA,2018-10-21T07:00:00Z,Booked,17
CHROMA,2018-10-28T07:00:00Z,Booked,7
CHROMA,2018-11-04T07:00:00Z,Booked,2
CHROMA,2018-11-11T07:00:00Z,Booked,3
CHROMA,2018-11-18T07:00:00Z,Booked,4
CHROMA,2018-11-25T07:00:00Z,Booked,4
CHROMA,2018-12-02T07:00:00Z,Booked,2
CHROMA,2018-12-09T07:00:00Z,Booked,6
CHROMA,2018-12-16T07:00:00Z,Booked,2
CHROMA,2018-12-23T07:00:00Z,Booked,2
CHROMA,2018-12-30T07:00:00Z,Booked,0
MARINA,2018-01-14T07:00:00Z,Booked,13
MARINA,2018-01-21T07:00:00Z,Booked,30
MARINA,2018-01-28T07:00:00Z,Booked,63
MARINA,2018-02-04T07:00:00Z,Booked,71
MARINA,2018-02-11T07:00:00Z,Booked,140
MARINA,2018-02-18T07:00:00Z,Booked,190
MARINA,2018-02-25T07:00:00Z,Booked,226
MARINA,2018-03-04T07:00:00Z,Booked,243
MARINA,2018-03-11T07:00:00Z,Booked,241
MARINA,2018-03-18T07:00:00Z,Booked,263
MARINA,2018-03-25T07:00:00Z,Booked,272
