listing_nickname,year,month,monthname,week,weekname,weekdate,avail_days,booked_days,occ_rate,ADR,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
C703,2017,10,Oct,42,2017-10-16 00:00:00,2017-10-16T07:00:00Z,6,5,0.8333333333333334,144.91666666666666,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,10,Oct,43,2017-10-16 00:00:00,2017-10-16T07:00:00Z,1,1,1,144.91666666666666,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,10,Oct,43,2017-10-23 00:00:00,2017-10-23T07:00:00Z,6,6,1,144.91666666666666,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,10,Oct,44,2017-10-23 00:00:00,2017-10-23T07:00:00Z,1,0,0,NaN,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,10,Oct,44,2017-10-30 00:00:00,2017-10-30T07:00:00Z,2,2,1,117.815,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,11,Nov,44,2017-10-30 00:00:00,2017-10-30T07:00:00Z,4,3,0.75,138.3277551020408,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,11,Nov,45,2017-10-30 00:00:00,2017-10-30T07:00:00Z,1,1,1,122.48326530612245,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,11,Nov,45,2017-11-05 23:00:00,2017-11-06T07:00:00Z,6,4,0.6666666666666666,149.325,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,11,Nov,46,2017-11-05 23:00:00,2017-11-06T07:00:00Z,1,1,1,146.25,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,11,Nov,46,2017-11-12 23:00:00,2017-11-13T07:00:00Z,6,6,1,141.91111111111113,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,11,Nov,47,2017-11-12 23:00:00,2017-11-13T07:00:00Z,1,1,1,156.89166666666668,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,11,Nov,47,2017-11-19 23:00:00,2017-11-20T07:00:00Z,6,6,1,168.67027777777778,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,11,Nov,48,2017-11-19 23:00:00,2017-11-20T07:00:00Z,1,1,1,111.95,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,11,Nov,48,2017-11-26 23:00:00,2017-11-27T07:00:00Z,4,1,0.25,111.95,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,12,Dec,48,2017-11-26 23:00:00,2017-11-27T07:00:00Z,2,2,1,111.95,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,12,Dec,49,2017-11-26 23:00:00,2017-11-27T07:00:00Z,1,1,1,111.95,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,12,Dec,49,2017-12-03 23:00:00,2017-12-04T07:00:00Z,6,4,0.6666666666666666,110.58,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,12,Dec,50,2017-12-03 23:00:00,2017-12-04T07:00:00Z,1,1,1,110.58,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,12,Dec,50,2017-12-10 23:00:00,2017-12-11T07:00:00Z,6,4,0.6666666666666666,129.6425,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
