rev_mo,Rooms,avail_days,booked_days,Rev,ADR,Occ,RevPar
2016-09-01T07:00:00Z,2,0,25,4107,164.28,Inf,Inf
2016-10-01T07:00:00Z,9,133,64,10098.777983095388,157.79340598586543,0.48120300751879697,75.93066152703298
2016-11-01T07:00:00Z,14,376,209,29126.27830953619,139.3601832992162,0.5558510638297872,77.46350614238347
2016-12-01T08:00:00Z,14,434,177,23788.850884787153,134.40028748467319,0.4078341013824885,54.8130204718598
2017-01-01T08:00:00Z,15,472,283,40872.06167247011,144.4242461924739,0.5995762711864406,86.593351000996
2017-02-01T08:00:00Z,20,515,255,39845.78388201029,156.25797600788349,0.49514563106796117,77.37045413982581
2017-03-01T08:00:00Z,24,669,435,79064.76547002741,181.75808154029292,0.6502242152466368,118.18350593427118
2017-04-01T07:00:00Z,25,741,500,88223.92129754326,176.4478425950865,0.6747638326585695,119.06062253379658
2017-05-01T07:00:00Z,25,775,664,126261.02741589736,190.152149722737,0.8567741935483871,162.91745473019014
2017-06-01T07:00:00Z,25,750,648,149138.76667735877,230.1524177119734,0.864,198.85168890314503
2017-07-01T07:00:00Z,30,800,684,152052.4346071321,222.2988810045791,0.855,190.06554325891514
2017-08-01T07:00:00Z,30,930,719,171476.11399988932,238.49250904017987,0.7731182795698924,184.38291827945088
2017-09-01T07:00:00Z,30,900,763,173457.35824174216,227.33598721067125,0.8477777777777777,192.73039804638017
2017-10-01T07:00:00Z,30,930,774,137476.40864563885,177.6180990253732,0.832258064516129,147.82409531789125
2017-11-01T07:00:00Z,30,900,732,104946.24046602171,143.36918096451055,0.8133333333333334,116.60693385113525
2017-12-01T08:00:00Z,32,960,710,95846.16148015234,134.99459363401738,0.7395833333333334,99.83975154182535
2018-01-01T08:00:00Z,82,1781,700,84980.52079775005,121.40074399678579,0.3930376193149916,47.71505940356545
2018-02-01T08:00:00Z,81,2240,1157,136040.7571902671,117.58060258450051,0.5165178571428571,60.73248088851209
2018-03-01T08:00:00Z,80,2486,1896,247630.29096922596,130.60669354916982,0.7626709573612228,99.60993200692918
2018-04-01T07:00:00Z,80,2400,1428,207400.9925206598,145.2387902805741,0.595,86.41708021694159
2018-05-01T07:00:00Z,115,1960,1249,276773.4948141026,221.59607270944963,0.6372448979591837,141.21096674188908
2018-06-01T07:00:00Z,70,2032,1555,351677.6261285104,226.1592450987205,0.765255905511811,173.06969789788897
2018-07-01T07:00:00Z,70,2170,1671,388001.5815952381,232.19723614317064,0.7700460829493088,178.8025721637042
2018-08-01T07:00:00Z,93,2235,1687,418634.6706746032,248.15333175732258,0.7548098434004474,187.30857748304393
2018-09-01T07:00:00Z,120,3365,2202,413787.42546267755,187.91436215380452,0.6543833580980684,122.96803134106317
2018-10-01T07:00:00Z,120,3304,1775,301377.36594556517,169.79006532144516,0.537227602905569,91.21590978981996
2018-11-01T07:00:00Z,110,2972,369,62112.787921069066,168.32733853948255,0.12415881561238223,20.899322988246656
2018-12-01T08:00:00Z,102,3069,90,14890.77881397588,165.45309793306532,0.02932551319648094,4.85199700683476
2019-01-01T08:00:00Z,87,2666,41,5447.17850445207,132.85801230370902,0.015378844711177795,2.0432027398544896
2019-02-01T08:00:00Z,87,2408,105,12627.573404942883,120.26260385659889,0.0436046511627907,5.244008889095882
2019-03-01T08:00:00Z,86,2666,0,0,NaN,0,NaN
2019-04-01T07:00:00Z,86,2580,0,0,NaN,0,NaN
2019-05-01T07:00:00Z,87,2666,5,1205.5833333333333,241.11666666666665,0.0018754688672168042,0.45220680170042504
2019-06-01T07:00:00Z,89,2580,21,4087.958666666667,194.6646984126984,0.00813953488372093,1.584480103359173
2019-07-01T07:00:00Z,88,2666,19,4411.698,232.1946315789474,0.007126781695423856,1.6548004501125284
2019-08-01T07:00:00Z,91,2670,25,5209.74,208.3896,0.009363295880149813,1.9512134831460675
2019-09-01T07:00:00Z,91,2610,25,4777.47,191.0988,0.009578544061302681,1.830448275862069
2019-10-01T07:00:00Z,87,2697,0,0,NaN,0,NaN
2019-11-01T07:00:00Z,87,2610,0,0,NaN,0,NaN
2019-12-01T08:00:00Z,96,2706,0,0,NaN,0,NaN
