listing_nickname,building,rev_mo,launch_date,end_date
C711,cove,2017-08-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2017-09-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2017-10-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2017-11-30T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2017-12-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2018-01-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2018-02-28T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2018-03-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2018-04-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2018-05-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2018-06-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,2018-07-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
CR109,chroma,2018-06-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2018-07-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2018-08-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2018-09-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2018-10-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2018-11-30T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2018-12-31T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-01-31T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-02-28T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-03-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-04-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-05-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-06-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-07-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-08-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-09-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-10-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-11-30T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR109,chroma,2019-12-31T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2018-06-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2018-07-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2018-08-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2018-09-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2018-10-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2018-11-30T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2018-12-31T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-01-31T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-02-28T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-03-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-04-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-05-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-06-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-07-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-08-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-09-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-10-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-11-30T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR110,chroma,2019-12-31T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2018-06-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2018-07-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2018-08-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2018-09-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2018-10-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2018-11-30T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2018-12-31T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2019-01-31T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2019-02-28T08:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2019-03-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2019-04-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2019-05-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2019-06-30T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2019-07-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
CR111,chroma,2019-08-31T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z
