conf,listing_nickname,booked,rev,status,source,year,month,BT,rev_mo,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
RU-A3wmAl,CR109,2018-09-13,203.795,confirmed,Expedia,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-09-24,169.75,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-09-25,169.75,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-09-26,169.75,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-09-27,169.75,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-09-28,169.75,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-09-29,169.75,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-09-30,169.75,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-10-01,169.75,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-10-02,169.75,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-10-03,169.75,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HM4ATRN8ZS,CR109,2018-10-04,169.75,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMWWJP8EZE,CR109,2018-09-14,144.20666666666668,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMWWJP8EZE,CR109,2018-09-15,144.20666666666668,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMWWJP8EZE,CR109,2018-09-16,144.20666666666668,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMXFC2R5EK,CR109,2018-10-17,184.9466666666667,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
