neighborhood,Bldg_Name,building,cohort
lower queen anne,Elliott Bayview,bayview,OG30
capitol hill,Excelsior,excelsior,OG30
downtown,Tower 801,tower,OG30
south lake union,Rollin Street Flats,rollin,OG30
belltown,Volta,volta,OG30
belltown,Verve,verve,OG30
belltown,Viktoria,viktoria,OG30
capitol hill,Cove,cove,OG30
south lake union,Mark on 8th,mark,OG30
south lake union,Marina SLU,marina,MARINA
south lake union,Chroma SLU,chroma,CHROMA
